Step;Value
20000;190.39999389648438
24000;133.3000030517578
40000;103.5
44000;102.0999984741211
52000;105.30000305175781
56000;105.30000305175781
60000;103.9000015258789
72000;112.5
76000;110.4000015258789
80000;111.80000305175781
96000;120.9000015258789
132000;107.4000015258789
136000;107.0
144000;109.0999984741211
156000;115.80000305175781
160000;114.5999984741211
168000;114.19999694824219
176000;113.9000015258789
180000;119.0999984741211
188000;113.80000305175781
196000;111.19999694824219
200000;114.19999694824219
212000;112.5999984741211
216000;116.5
220000;119.80000305175781
224000;119.80000305175781
228000;115.5999984741211
240000;121.69999694824219
244000;124.80000305175781
252000;115.69999694824219
260000;118.9000015258789
264000;108.4000015258789
268000;104.4000015258789
272000;102.30000305175781
284000;102.80000305175781
288000;101.19999694824219
292000;102.0
296000;100.80000305175781
304000;96.19999694824219
316000;99.19999694824219
336000;95.5999984741211
340000;97.9000015258789
344000;98.69999694824219
348000;100.5999984741211
352000;103.0
356000;98.0
376000;101.19999694824219
408000;90.69999694824219
420000;95.0
424000;101.0
452000;104.69999694824219
464000;112.69999694824219
472000;122.80000305175781
476000;120.5
480000;121.0
496000;118.4000015258789
500000;116.5
504000;116.80000305175781
516000;113.80000305175781
520000;116.0999984741211
532000;107.30000305175781
548000;98.80000305175781
556000;98.0
564000;89.19999694824219
568000;87.19999694824219
572000;87.19999694824219
576000;85.4000015258789
592000;88.69999694824219
600000;106.4000015258789
612000;98.5
616000;99.30000305175781
620000;99.30000305175781
628000;101.80000305175781
632000;99.19999694824219
636000;99.0
648000;98.30000305175781
656000;97.80000305175781
660000;96.5
668000;100.19999694824219
672000;104.4000015258789
684000;112.19999694824219
704000;106.0
708000;109.80000305175781
712000;116.0
720000;119.9000015258789
732000;116.4000015258789
740000;125.0999984741211
744000;127.19999694824219
752000;127.80000305175781
760000;131.0
764000;133.0
792000;118.4000015258789
808000;119.0
824000;110.5999984741211
828000;105.0
832000;101.5999984741211
848000;93.69999694824219
860000;94.80000305175781
872000;98.19999694824219
876000;89.0
888000;87.0
892000;83.19999694824219
900000;80.0
