Step;Value
5229;60.79999923706055
18388;88.69999694824219
24819;104.19999694824219
39726;128.60000610351562
41563;127.9000015258789
43816;119.5
50948;111.0999984741211
53614;109.19999694824219
68029;110.30000305175781
70282;105.9000015258789
86329;95.30000305175781
93331;99.5
95584;96.4000015258789
96335;92.9000015258789
101898;94.19999694824219
112076;75.19999694824219
124070;68.80000305175781
134759;76.5999984741211
138612;73.0999984741211
140865;70.80000305175781
150640;73.19999694824219
159128;68.80000305175781
164250;76.5
166310;76.5
167459;78.69999694824219
170463;74.19999694824219
177206;71.5
183623;70.0
184374;70.0
188751;73.4000015258789
199975;80.5
205252;87.80000305175781
209007;79.19999694824219
221046;68.30000305175781
227506;71.0999984741211
232605;67.0999984741211
237945;65.9000015258789
241050;64.69999694824219
243235;67.5
259214;61.20000076293945
263028;63.5
267806;60.599998474121094
271584;62.20000076293945
273086;60.0
281841;61.599998474121094
282592;61.099998474121094
292894;62.900001525878906
301247;69.0
308224;75.80000305175781
320937;68.0
325555;72.69999694824219
333704;74.5
370586;82.19999694824219
371337;82.19999694824219
386958;71.19999694824219
388911;71.5999984741211
389662;68.4000015258789
393107;72.19999694824219
397847;72.80000305175781
405306;72.5
407559;72.5
408310;72.5
418079;69.5999984741211
434460;68.4000015258789
436849;68.9000015258789
451226;51.900001525878906
452728;51.900001525878906
454981;51.900001525878906
461668;55.900001525878906
466313;56.400001525878906
468392;58.400001525878906
470685;60.599998474121094
475219;55.20000076293945
479264;50.20000076293945
489355;54.099998474121094
494238;57.79999923706055
499203;60.400001525878906
502238;56.20000076293945
506949;56.70000076293945
508451;54.5
511057;50.900001525878906
512559;49.400001525878906
513310;49.400001525878906
517065;45.400001525878906
517816;44.900001525878906
524616;46.400001525878906
534959;50.599998474121094
538980;48.5
541129;46.29999923706055
551534;48.70000076293945
556791;46.400001525878906
557542;46.400001525878906
559222;47.099998474121094
561475;47.099998474121094
562977;47.099998474121094
572924;45.5
575208;43.29999923706055
578532;40.0
581105;42.099998474121094
583597;46.29999923706055
587388;45.20000076293945
588193;46.70000076293945
591621;48.70000076293945
596056;51.099998474121094
611982;62.599998474121094
619117;64.5999984741211
622831;65.80000305175781
626026;66.80000305175781
626926;66.69999694824219
633290;65.4000015258789
643077;72.5999984741211
646592;75.19999694824219
650379;80.5
654134;80.5
657619;82.4000015258789
667474;84.30000305175781
670728;87.9000015258789
671479;86.5999984741211
672230;84.30000305175781
674204;84.30000305175781
674955;82.80000305175781
680225;85.19999694824219
684574;87.30000305175781
686076;84.5
692164;83.80000305175781
692915;83.80000305175781
693770;84.5999984741211
697249;87.0
701130;88.0999984741211
705536;92.5
706342;92.5
707402;91.69999694824219
728093;93.69999694824219
731933;93.19999694824219
733504;91.30000305175781
738209;91.9000015258789
761342;90.0999984741211
765837;91.5
767504;91.5999984741211
772259;87.19999694824219
779178;83.80000305175781
783684;79.19999694824219
787111;77.19999694824219
792368;68.80000305175781
794522;67.0
799579;61.79999923706055
801610;62.29999923706055
813090;58.29999923706055
813841;56.400001525878906
816480;56.0
821926;49.599998474121094
824179;49.599998474121094
831797;50.400001525878906
835160;47.5
837413;43.20000076293945
838164;41.79999923706055
844923;33.099998474121094
845674;31.100000381469727
848835;30.399999618530273
850337;28.799999237060547
851088;28.799999237060547
855044;29.399999618530273
858048;25.799999237060547
864713;27.299999237060547
867955;27.700000762939453
869457;27.700000762939453
871710;27.700000762939453
878669;26.5
880922;23.899999618530273
887260;25.399999618530273
897148;24.600000381469727
902910;28.0
914980;30.0
919898;35.0
922484;37.5
924236;38.29999923706055
928276;41.400001525878906
931465;40.5
932967;40.5
937254;42.5
938005;41.400001525878906
946097;45.20000076293945
950719;45.099998474121094
953723;45.099998474121094
955128;46.29999923706055
963484;51.0
967996;55.599998474121094
980143;52.20000076293945
998356;45.599998474121094
999193;47.099998474121094
1002854;46.099998474121094
1003605;46.099998474121094
1004356;44.79999923706055
1020130;41.900001525878906
1029709;42.79999923706055
1030460;42.20000076293945
1035148;45.20000076293945
1037337;46.5
1041579;47.20000076293945
1063990;48.400001525878906
1065492;47.900001525878906
1073305;45.400001525878906
1082653;48.5
1085831;48.70000076293945
1088438;49.400001525878906
1104865;59.79999923706055
1109621;62.0
1115221;62.0
1120301;60.099998474121094
1129291;61.79999923706055
1133212;62.20000076293945
1133963;60.79999923706055
1136550;58.0
1143296;55.29999923706055
1146231;57.29999923706055
1148995;53.400001525878906
1151694;55.29999923706055
1152445;54.79999923706055
1167505;64.19999694824219
1180071;65.4000015258789
1192799;61.20000076293945
1195052;61.20000076293945
1195803;61.20000076293945
1197889;62.5
1198640;61.20000076293945
1217625;70.80000305175781
1222085;71.5999984741211
1224424;73.19999694824219
1227690;73.4000015258789
1230025;73.69999694824219
1233029;71.30000305175781
1236550;75.0999984741211
1239554;71.30000305175781
1259962;75.19999694824219
1260713;73.0
1269800;81.0999984741211
1276366;85.9000015258789
1277219;88.0999984741211
1279702;94.9000015258789
1281966;95.5999984741211
1291074;101.5999984741211
1297096;104.9000015258789
1310032;116.9000015258789
1310783;114.69999694824219
1313561;113.30000305175781
1333392;129.60000610351562
1334190;131.10000610351562
1336193;134.60000610351562
1343096;141.10000610351562
1349754;147.89999389648438
1350505;146.39999389648438
1357985;137.0
1361032;131.0
1362827;132.89999389648438
1366074;130.3000030517578
1374091;129.39999389648438
1380265;123.0999984741211
1381016;121.5999984741211
1385210;120.4000015258789
1392475;116.30000305175781
1400991;122.69999694824219
1401742;120.4000015258789
1405821;116.9000015258789
1410319;118.4000015258789
1413509;116.5999984741211
1415154;118.0999984741211
1417407;111.5
1419701;112.30000305175781
1422833;112.30000305175781
1429542;108.80000305175781
1436250;108.5
1439464;112.19999694824219
1442010;116.80000305175781
1448575;120.30000305175781
1456111;122.30000305175781
1459287;125.19999694824219
1460134;125.19999694824219
1460952;124.4000015258789
1462621;123.69999694824219
1465097;127.5
1472093;128.60000610351562
1479756;132.3000030517578
1488854;132.8000030517578
1492070;137.0
1493745;139.6999969482422
1496045;136.60000610351562
1499955;133.89999389648438
1502380;138.39999389648438
1503167;140.6999969482422
1503964;142.89999389648438
1508010;145.89999389648438
1519956;148.0
1528342;150.1999969482422
1533306;151.8000030517578
1539335;147.8000030517578
1540141;147.8000030517578
1547650;147.39999389648438
1553529;150.10000610351562
1563533;156.5
1570971;153.5
1574328;153.10000610351562
1583481;154.60000610351562
1584362;156.8000030517578
1586721;156.8000030517578
1590772;157.89999389648438
1593776;149.0
1604254;145.10000610351562
1606549;142.6999969482422
1611215;137.8000030517578
1612031;140.10000610351562
1612782;140.10000610351562
1640653;139.6999969482422
1645679;139.3000030517578
1651471;135.3000030517578
1656205;135.89999389648438
1659304;133.1999969482422
1660806;129.6999969482422
1662355;129.6999969482422
1667359;127.0
1670179;124.80000305175781
1671787;127.80000305175781
1674268;133.10000610351562
1676737;137.39999389648438
1686674;141.6999969482422
1688262;143.89999389648438
1698302;149.39999389648438
1699154;149.39999389648438
1699938;148.60000610351562
1711307;149.0
1714587;151.3000030517578
1718111;152.5
1721312;153.10000610351562
1724411;151.60000610351562
1727932;151.10000610351562
1734487;158.1999969482422
1736053;157.5
1738810;158.0
1741362;160.1999969482422
1743720;164.6999969482422
1747728;167.0
1763586;158.89999389648438
1773747;155.6999969482422
1774541;155.6999969482422
1776982;156.3000030517578
1777756;156.3000030517578
1779416;158.10000610351562
1781273;157.6999969482422
1784582;157.60000610351562
1787758;157.8000030517578
1792741;162.0
1794690;161.1999969482422
1801942;160.5
1808606;160.89999389648438
1812138;163.89999389648438
1817973;164.6999969482422
1818745;164.6999969482422
1831297;172.0
1834509;171.0
1837638;174.60000610351562
1838821;175.10000610351562
1842008;177.39999389648438
1843715;177.5
1848052;180.39999389648438
1855828;187.10000610351562
1859028;188.89999389648438
1860604;191.1999969482422
1862520;190.1999969482422
1865746;192.60000610351562
1873825;198.3000030517578
1875382;202.10000610351562
