Step;Value
5107;149.0
16764;116.4000015258789
21748;115.4000015258789
40628;149.89999389648438
42130;142.89999389648438
44993;136.3000030517578
52533;138.89999389648438
55438;141.5
69024;136.3000030517578
71607;133.8000030517578
92026;127.5999984741211
101207;129.89999389648438
104788;130.1999969482422
105539;130.1999969482422
112525;123.19999694824219
125382;127.0
137083;110.69999694824219
146912;109.19999694824219
152800;106.0
155724;104.5999984741211
165695;101.0999984741211
178119;111.30000305175781
182161;113.5
184368;114.19999694824219
185321;116.0
189565;117.5
199215;118.0999984741211
206377;110.4000015258789
208355;112.19999694824219
215804;123.80000305175781
226755;131.6999969482422
233368;128.39999389648438
237737;129.60000610351562
254254;132.0
260352;129.39999389648438
265466;129.39999389648438
271000;126.0999984741211
274437;121.5
276035;116.69999694824219
293165;106.69999694824219
297053;97.9000015258789
297804;97.9000015258789
301559;92.19999694824219
305439;90.0
307000;88.69999694824219
313602;83.80000305175781
314353;82.5
323559;70.69999694824219
331827;72.19999694824219
340858;75.5999984741211
354800;70.5
357875;72.80000305175781
365551;69.19999694824219
402536;78.69999694824219
403287;76.5
410449;78.5999984741211
418153;73.19999694824219
420496;76.9000015258789
421247;76.9000015258789
423527;72.9000015258789
428504;71.9000015258789
435442;63.79999923706055
437768;66.0999984741211
439486;68.80000305175781
449303;71.9000015258789
464079;76.80000305175781
465581;76.80000305175781
484892;81.19999694824219
486592;81.0999984741211
489104;79.30000305175781
495752;79.5999984741211
500623;78.19999694824219
502125;76.69999694824219
504378;75.19999694824219
509907;75.0
513758;75.30000305175781
521927;79.80000305175781
526941;81.9000015258789
531930;81.4000015258789
535197;85.19999694824219
541022;89.5999984741211
542806;92.5
545213;92.30000305175781
546891;92.19999694824219
547813;94.4000015258789
551868;98.19999694824219
552619;98.19999694824219
562056;97.0
573102;91.5999984741211
577763;97.19999694824219
579265;91.4000015258789
590091;97.0999984741211
595879;95.9000015258789
596630;95.9000015258789
598132;93.5999984741211
600385;91.4000015258789
601887;91.4000015258789
611124;85.69999694824219
613377;85.69999694824219
616500;82.5999984741211
618753;79.0
621006;73.0999984741211
624010;66.19999694824219
624761;64.0
627812;60.0
631694;58.0
645982;59.0
653403;60.79999923706055
658370;58.599998474121094
661517;61.900001525878906
662499;60.5
668931;59.5
676580;58.70000076293945
680070;63.0
683888;71.0
688157;74.30000305175781
688908;76.5
692097;74.0
699752;79.0999984741211
702948;79.0999984741211
703861;81.19999694824219
704999;82.5
706656;84.69999694824219
707511;86.9000015258789
714157;96.9000015258789
717281;93.9000015258789
718032;93.9000015258789
719534;93.9000015258789
724092;93.5
724843;93.5
726018;93.19999694824219
729271;90.30000305175781
733312;87.19999694824219
737424;84.80000305175781
738175;82.69999694824219
740107;85.19999694824219
761379;90.0
765812;91.4000015258789
767653;91.4000015258789
772832;91.0
796622;85.69999694824219
800377;77.80000305175781
801879;74.0999984741211
806572;69.0
812685;64.9000015258789
817381;62.5
820385;59.20000076293945
825758;60.20000076293945
827260;57.70000076293945
831766;53.20000076293945
833268;47.79999923706055
835521;44.5
837774;41.0
843865;34.599998474121094
844616;34.599998474121094
846869;32.20000076293945
852702;29.899999618530273
854955;27.600000381469727
863859;30.799999237060547
867345;32.599998474121094
870886;35.900001525878906
871716;38.099998474121094
878711;39.900001525878906
