Step;Value
20000;79.0
24000;64.5
40000;84.5999984741211
44000;83.19999694824219
52000;133.39999389648438
56000;122.0
60000;122.5999984741211
64000;131.60000610351562
68000;145.5
72000;142.39999389648438
76000;159.89999389648438
80000;159.1999969482422
96000;151.1999969482422
100000;163.8000030517578
132000;59.900001525878906
136000;55.70000076293945
144000;73.80000305175781
156000;66.80000305175781
160000;65.0999984741211
168000;84.5
172000;81.5
176000;89.5999984741211
180000;92.0
188000;105.19999694824219
196000;120.5
200000;119.9000015258789
212000;137.5
216000;134.6999969482422
220000;157.5
224000;152.1999969482422
228000;166.1999969482422
240000;247.60000610351562
244000;252.0
252000;268.79998779296875
260000;268.0
264000;259.79998779296875
268000;251.5
272000;248.10000610351562
284000;268.1000061035156
288000;266.8999938964844
292000;256.20001220703125
296000;253.3000030517578
304000;224.8000030517578
316000;220.5
336000;221.60000610351562
340000;236.1999969482422
344000;231.8000030517578
348000;226.5
352000;223.8000030517578
356000;230.89999389648438
376000;189.8000030517578
408000;184.60000610351562
416000;175.10000610351562
420000;150.60000610351562
424000;153.3000030517578
452000;133.10000610351562
464000;139.39999389648438
472000;160.3000030517578
476000;185.8000030517578
480000;194.10000610351562
496000;171.0
500000;164.60000610351562
504000;152.1999969482422
516000;145.60000610351562
520000;147.8000030517578
532000;154.3000030517578
548000;172.0
556000;194.6999969482422
564000;189.1999969482422
568000;184.39999389648438
572000;176.1999969482422
576000;175.60000610351562
580000;169.10000610351562
584000;118.4000015258789
592000;117.5
600000;105.19999694824219
612000;111.0
616000;108.0999984741211
620000;127.9000015258789
628000;135.39999389648438
632000;130.60000610351562
636000;145.10000610351562
648000;125.5
656000;116.30000305175781
660000;108.80000305175781
668000;118.9000015258789
672000;130.0
684000;139.6999969482422
700000;196.8000030517578
704000;206.89999389648438
708000;223.3000030517578
712000;238.0
720000;258.3999938964844
724000;273.3999938964844
732000;261.0
740000;289.29998779296875
744000;298.79998779296875
748000;308.79998779296875
752000;314.20001220703125
760000;327.0
764000;330.29998779296875
792000;298.3999938964844
808000;274.0
824000;241.0
828000;230.39999389648438
832000;215.0
848000;144.3000030517578
852000;166.8000030517578
