Step;Value
4706;-118.19999694824219
16164;-37.0
21282;-26.100000381469727
34896;-2.0
36398;-6.099999904632568
40181;0.20000000298023224
42257;-1.7999999523162842
47020;-2.700000047683716
49273;-7.199999809265137
60882;-12.399999618530273
63135;-14.0
66952;-18.200000762939453
72960;-26.200000762939453
79165;-27.799999237060547
86584;-25.200000762939453
89645;-21.399999618530273
90450;-22.600000381469727
96620;-21.200000762939453
109559;-5.5
119795;-14.0
132578;1.100000023841858
139509;11.100000381469727
142117;11.600000381469727
151598;26.799999237060547
152349;26.200000762939453
162851;39.0
167253;44.599998474121094
168971;52.5
170282;59.5
173419;62.79999923706055
180636;70.5999984741211
188489;79.69999694824219
189350;81.5999984741211
193622;83.5999984741211
203527;84.80000305175781
208241;76.80000305175781
212566;81.0
216535;89.0
229788;94.30000305175781
236827;97.0999984741211
243698;119.5999984741211
251636;127.5
257461;152.0
261185;159.1999969482422
286877;245.0
292584;258.79998779296875
293761;259.6000061035156
300447;265.29998779296875
308141;307.79998779296875
310433;310.29998779296875
318975;322.8999938964844
321350;334.1000061035156
329822;373.0
335564;396.3999938964844
345373;423.0
354903;435.0
374112;458.8999938964844
377784;470.29998779296875
384998;461.20001220703125
389608;452.29998779296875
391805;444.29998779296875
449211;542.7999877929688
450008;542.5
453016;535.4000244140625
458538;505.6000061035156
467541;501.0
469770;497.3999938964844
470643;496.70001220703125
473765;511.0
480212;513.7000122070312
493977;532.5999755859375
497768;529.4000244140625
498915;530.0
511798;553.4000244140625
528964;490.0
531062;482.0
544708;417.8999938964844
554190;435.0
556495;446.8999938964844
560739;464.1000061035156
572384;520.5
579782;547.5
584417;572.7000122070312
588497;597.2999877929688
596402;611.7999877929688
603748;644.7000122070312
617935;711.0
626816;747.0
635552;787.5999755859375
640383;799.7000122070312
647937;837.9000244140625
650621;862.9000244140625
652448;873.5999755859375
655743;898.5
658587;922.5
660497;933.5
668927;994.5999755859375
670689;1005.5999755859375
683437;1100.5999755859375
692562;1149.4000244140625
696334;1159.9000244140625
705276;1171.699951171875
712018;1199.800048828125
714252;1196.199951171875
728668;1237.199951171875
739507;1293.300048828125
740835;1305.199951171875
743744;1317.199951171875
746644;1317.800048828125
747778;1319.300048828125
749755;1317.300048828125
766298;1332.0999755859375
770295;1331.4000244140625
775688;1328.5999755859375
779395;1346.9000244140625
783745;1369.5
790067;1388.5999755859375
791488;1380.199951171875
795974;1378.300048828125
801896;1379.300048828125
816234;1370.199951171875
820786;1378.199951171875
824268;1386.0
833116;1376.300048828125
837871;1383.0999755859375
841682;1373.9000244140625
842946;1377.5999755859375
844254;1376.0
855369;1394.0
862948;1383.0999755859375
865784;1368.800048828125
866758;1359.300048828125
871099;1361.5999755859375
875758;1358.9000244140625
881208;1368.300048828125
882279;1365.0999755859375
888375;1366.800048828125
898294;1366.800048828125
902570;1370.4000244140625
903757;1370.699951171875
904935;1370.0
907497;1369.800048828125
909023;1369.5
917857;1361.0999755859375
922012;1363.199951171875
923077;1363.199951171875
925458;1363.9000244140625
928441;1362.5999755859375
931999;1365.5
932939;1362.9000244140625
933936;1364.699951171875
935002;1366.0999755859375
938349;1367.800048828125
943897;1363.699951171875
951151;1373.699951171875
952138;1374.5
952978;1370.0
960554;1374.4000244140625
981047;1392.0999755859375
985634;1374.699951171875
987598;1364.4000244140625
993100;1371.5
1018224;1371.699951171875
1020624;1370.800048828125
1025121;1344.5999755859375
1027256;1343.4000244140625
1031985;1344.5999755859375
1033698;1328.5999755859375
1041488;1301.800048828125
1047040;1288.5
1050574;1291.800048828125
1057908;1247.5
1060046;1244.199951171875
1066237;1225.4000244140625
1068299;1234.0
1071179;1214.5
1072420;1214.5999755859375
1075197;1215.5999755859375
1083118;1209.5999755859375
1083869;1194.300048828125
1087060;1196.699951171875
1095514;1207.800048828125
1099202;1206.800048828125
1110229;1197.199951171875
1114357;1197.5999755859375
1117790;1212.0999755859375
1119307;1211.699951171875
1128189;1228.5
1129189;1228.4000244140625
1132771;1215.5
1134527;1214.199951171875
1135386;1215.199951171875
1138901;1231.0
1139792;1232.699951171875
1142453;1246.0
1143669;1246.0999755859375
1151883;1256.800048828125
1155757;1255.699951171875
1157635;1254.9000244140625
1159562;1263.4000244140625
1160444;1278.300048828125
1169381;1324.199951171875
1172927;1321.9000244140625
1180490;1331.199951171875
1182372;1330.4000244140625
1185982;1331.699951171875
1186733;1331.9000244140625
1191230;1347.199951171875
1197572;1350.699951171875
1208050;1365.699951171875
1209725;1350.800048828125
1215704;1349.9000244140625
1218400;1335.5
1220753;1346.4000244140625
1225200;1332.0
1230122;1326.4000244140625
1231877;1322.199951171875
1237429;1303.199951171875
1239512;1302.9000244140625
1240273;1303.9000244140625
1247866;1243.699951171875
1254402;1212.199951171875
1257974;1192.199951171875
1259048;1192.5
1259903;1191.699951171875
1268679;1162.699951171875
1274140;1122.5999755859375
1288910;1071.699951171875
1291601;1070.9000244140625
1312870;995.7000122070312
1313927;996.7000122070312
1317071;981.2000122070312
1317954;976.5999755859375
1318863;975.7999877929688
1339409;1022.7999877929688
1344696;1041.800048828125
1352203;1080.4000244140625
1352998;1090.5
1357933;1088.0999755859375
1359653;1097.9000244140625
1364223;1089.5999755859375
1365777;1079.5999755859375
1371370;1070.0
1388553;1164.199951171875
1390882;1165.199951171875
1392533;1163.800048828125
1399539;1210.9000244140625
1402104;1207.5
1409821;1197.300048828125
1412634;1199.0999755859375
1415079;1210.0
